設立別,學程別,群科別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,升學率,公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率
國立,綜合高中,化工群,43,22,0,21,0,0,0,0,0,0,0,0,0,0,100,51.16,0,48.84,0,0,0,0,0,0,0,0,0,0
國立,綜合高中,土木與建築群,81,46,1,27,0,0,0,0,0,0,0,0,1,0,92.59,56.79,1.23,33.33,0,0,0,0,0,0,0,0,1.23,0
國立,綜合高中,商業與管理群,537,149,7,315,10,3,0,0,0,0,0,6,2,0,91.62,27.75,1.3,58.66,1.86,0.56,0,0,0,0,0,1.12,0.37,0
國立,綜合高中,外語群,122,19,0,95,0,0,0,0,0,0,0,0,0,0,93.44,15.57,0,77.87,0,0,0,0,0,0,0,0,0,0
國立,綜合高中,設計群,128,3,2,108,4,0,0,0,0,0,0,1,0,0,92.19,2.34,1.56,84.38,3.13,0,0,0,0,0,0,0.78,0,0
國立,綜合高中,農業群,55,39,0,13,0,0,0,0,0,0,0,0,1,0,96.36,70.91,0,23.64,0,0,0,0,0,0,0,0,1.82,0
國立,綜合高中,食品群,143,47,0,69,11,0,0,0,0,0,0,0,0,0,88.81,32.87,0,48.25,7.69,0,0,0,0,0,0,0,0,0
國立,綜合高中,家政群,36,0,0,23,1,2,0,1,0,0,0,0,0,0,75,0,0,63.89,2.78,5.56,0,2.78,0,0,0,0,0,0
國立,綜合高中,餐旅群,295,49,4,168,4,0,0,0,0,0,0,1,0,0,76.61,16.61,1.36,56.95,1.36,0,0,0,0,0,0,0.34,0,0
國立,綜合高中,水產群,12,4,0,5,0,0,0,0,0,0,0,0,0,0,75,33.33,0,41.67,0,0,0,0,0,0,0,0,0,0
國立,綜合高中,其他(綜合),100,1,0,51,6,0,0,0,0,0,0,0,0,0,58,1,0,51,6,0,0,0,0,0,0,0,0,0
國立,實用技能學程,機械群,395,29,20,124,46,1,0,0,0,0,0,4,0,1,56.96,7.34,5.06,31.39,11.65,0.25,0,0,0,0,0,1.01,0,0.25
國立,實用技能學程,動力機械群,107,4,5,10,23,0,0,0,0,0,0,0,0,0,39.25,3.74,4.67,9.35,21.5,0,0,0,0,0,0,0,0,0
國立,實用技能學程,電機與電子群,292,22,15,98,47,2,0,0,0,0,0,3,0,0,64.04,7.53,5.14,33.56,16.1,0.68,0,0,0,0,0,1.03,0,0
國立,實用技能學程,土木與建築群,121,8,0,63,13,0,0,0,0,0,0,1,0,0,70.25,6.61,0,52.07,10.74,0,0,0,0,0,0,0.83,0,0
國立,實用技能學程,商業與管理群,415,19,15,189,29,0,0,0,0,0,0,2,0,0,61.2,4.58,3.61,45.54,6.99,0,0,0,0,0,0,0.48,0,0
